Landscape;Category;Transect_type;Aglais urticae;Anthocharis cardamines;Aphantopus hyperantus;Argynnis adippe;Argynnis aglaja;Argynnis niobe;Argynnis paphia;Aricia artaxerxes;Boloria euphrosyne;Boloria selene;Brenthis ino;Callophrys rubi;Carterocephalus silvicola;Celastrina argiolus;Coenonympha arcania;Coenonympha pamphilus;Cupido minimus;Erebia ligea;Erynnis tages;Glaucopsyche alexis;Gonepteryx rhamni;Hesperia comma;Inachis io;Issoria lathonia;Lasiommata maera;Lasiommata megera;Lasiommata petropolitana;Leptidea sinapis/reali;Limenitis populi;Lycaena hippothoe;Lycaena phlaeas;Maniola jurtina;Melitaea athalia;Nymphalis antiopa;Ochlodes sylvanus;Pararge aegeria;Pieris brassicae;Pieris napi;Pieris rapae;Plebejus argus;Plebejus idas;Plebejus optilete;Polygonia c-album;Polyommatus amandus;Polyommatus icarus;Polyommatus semiargus;Thecla betulae;Thymelicus lineola;Vanessa atalanta;Vanessa cardui;Zygaena filipendulae;Zygaena lonicerae;Zygaena viciae
5561;PL.LRD;Pasture;0;0;4;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;2;0;0;0;0;0
5561;PL.LRD;Powerline;1;0;3;5;0;0;0;0;0;2;3;0;0;0;20;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;1;0;2;0;0;7;0;4;4;1;0;0;2;0;0;9;0;0;0;0;0
5561;PL.LRD;Small road;5;0;10;0;0;0;0;0;0;0;1;0;0;0;5;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;7;1;0;0;0;0;0;0;0;0;9;0;0;0;0;0
5683;NoPL.LRD;Big road;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
5683;NoPL.LRD;Pasture;0;0;8;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;8;0;1;0;0;0
5683;NoPL.LRD;Small road;7;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;1;0;15;0;0;1;0;0
5798;PL.HRD;Between fields;3;0;25;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5798;PL.HRD;Big road;0;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5798;PL.HRD;Pasture;0;0;4;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
5798;PL.HRD;Powerline;2;0;37;0;0;0;1;0;0;0;3;0;0;0;4;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;3;6;1;2;18;0;0;0;0;0
5798;PL.HRD;Small road;5;0;8;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2;0;0;0;2;0;1;0;9;0;0;0;0;0
5834;PL.LRD;Between fields;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
5834;PL.LRD;Big road;2;0;8;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
5834;PL.LRD;Pasture;1;0;8;0;0;0;0;1;0;0;3;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
5834;PL.LRD;Powerline;1;0;2;1;0;0;0;0;0;0;2;0;0;0;2;4;0;0;0;0;0;1;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
5834;PL.LRD;Small road;0;1;17;0;1;0;0;3;0;0;4;0;0;0;3;4;0;0;0;0;4;0;1;0;0;0;0;2;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0
5847;NoPL.LRD;Big road;11;0;14;0;0;0;1;0;0;0;3;0;1;0;0;1;0;0;0;0;1;0;2;0;7;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0
5847;NoPL.LRD;Pasture;0;0;8;0;0;0;11;0;0;0;0;0;0;0;4;5;0;0;0;0;3;1;3;0;4;0;0;0;0;0;0;4;0;0;3;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1
5847;NoPL.LRD;Small road;0;0;13;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;10;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0
6437;NoPL.LRD;Between fields;1;0;10;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0
6437;NoPL.LRD;Big road;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
