Landscape;Category;Transect_type;Species;Indiv
2844;PL.HRD;Between fields;Inachis io;2
2844;PL.HRD;Between fields;Maniola jurtina;1
2844;PL.HRD;Big road;Aphantopus hyperantus;10
2844;PL.HRD;Big road;Argynnis aglaja;1
2844;PL.HRD;Big road;Coenonympha arcania;2
2844;PL.HRD;Big road;Polyommatus icarus;1
2844;PL.HRD;Big road;Zygaena lonicerae;1
2844;PL.HRD;Pasture;Aglais urticae;1
2844;PL.HRD;Pasture;Aphantopus hyperantus;13
2844;PL.HRD;Pasture;Argynnis aglaja;7
2844;PL.HRD;Pasture;Boloria euphrosyne;1
2844;PL.HRD;Pasture;Boloria selene;2
2844;PL.HRD;Pasture;Callophrys rubi;2
2844;PL.HRD;Pasture;Coenonympha arcania;4
2844;PL.HRD;Pasture;Coenonympha pamphilus;2
2844;PL.HRD;Pasture;Gonepteryx rhamni;3
2844;PL.HRD;Pasture;Inachis io;3
2844;PL.HRD;Pasture;Lycaena hippothoe;3
2844;PL.HRD;Pasture;Lycaena phlaeas;2
2844;PL.HRD;Pasture;Maniola jurtina;8
2844;PL.HRD;Pasture;Ochlodes sylvanus;1
2844;PL.HRD;Pasture;Pieris brassicae;1
2844;PL.HRD;Pasture;Plebejus argus;1
2844;PL.HRD;Pasture;Polyommatus icarus;1
2844;PL.HRD;Pasture;Polyommatus semiargus;2
2844;PL.HRD;Pasture;Thymelicus lineola;1
2844;PL.HRD;Powerline;Aglais urticae;1
2844;PL.HRD;Powerline;Aphantopus hyperantus;22
2844;PL.HRD;Powerline;Argynnis adippe;1
2844;PL.HRD;Powerline;Argynnis aglaja;3
2844;PL.HRD;Powerline;Boloria selene;1
2844;PL.HRD;Powerline;Coenonympha arcania;5
2844;PL.HRD;Powerline;Coenonympha pamphilus;2
2844;PL.HRD;Powerline;Gonepteryx rhamni;3
2844;PL.HRD;Powerline;Inachis io;1
2844;PL.HRD;Powerline;Lasiommata maera;1
2844;PL.HRD;Powerline;Melitaea athalia;1
2844;PL.HRD;Powerline;Pieris napi;1
2844;PL.HRD;Powerline;Thymelicus lineola;4
2844;PL.HRD;Small road;Aphantopus hyperantus;1
2844;PL.HRD;Small road;Brenthis ino;1
2844;PL.HRD;Small road;Coenonympha arcania;2
2844;PL.HRD;Small road;Gonepteryx rhamni;2
2844;PL.HRD;Small road;Lasiommata maera;6
2844;PL.HRD;Small road;Leptidea sinapis/reali;1
2844;PL.HRD;Small road;Ochlodes sylvanus;2
2844;PL.HRD;Small road;Pieris napi;4
2844;PL.HRD;Small road;Plebejus optilete;1
3897;PL.HRD;Big road;Aphantopus hyperantus;2
3897;PL.HRD;Big road;Lasiommata maera;1
3897;PL.HRD;Pasture;Aphantopus hyperantus;2
3897;PL.HRD;Pasture;Maniola jurtina;1
3897;PL.HRD;Pasture;Pieris napi;1
3897;PL.HRD;Pasture;Polyommatus amandus;2
3897;PL.HRD;Powerline;Aphantopus hyperantus;9
3897;PL.HRD;Powerline;Coenonympha pamphilus;2
3897;PL.HRD;Powerline;Ochlodes sylvanus;2
3897;PL.HRD;Powerline;Pieris napi;2
3897;PL.HRD;Powerline;Plebejus argus;2
3897;PL.HRD;Powerline;Polyommatus amandus;1
3897;PL.HRD;Powerline;Thymelicus lineola;1
3897;PL.HRD;Small road;Aphantopus hyperantus;23
3897;PL.HRD;Small road;Coenonympha arcania;1
3897;PL.HRD;Small road;Hesperia comma;1
3897;PL.HRD;Small road;Ochlodes sylvanus;2
3897;PL.HRD;Small road;Pieris napi;2
3897;PL.HRD;Small road;Plebejus idas;1
4091;PL.HRD;Between fields;Aglais urticae;2
4091;PL.HRD;Between fields;Aphantopus hyperantus;14
4091;PL.HRD;Between fields;Argynnis adippe;1
4091;PL.HRD;Between fields;Argynnis aglaja;1
4091;PL.HRD;Between fields;Boloria selene;3
4091;PL.HRD;Between fields;Coenonympha arcania;5
4091;PL.HRD;Between fields;Gonepteryx rhamni;5
4091;PL.HRD;Between fields;Inachis io;17
4091;PL.HRD;Between fields;Leptidea sinapis/reali;2
4091;PL.HRD;Between fields;Pieris napi;7
4091;PL.HRD;Between fields;Polyommatus semiargus;1
4091;PL.HRD;Big road;Aphantopus hyperantus;23
4091;PL.HRD;Big road;Argynnis adippe;1
4091;PL.HRD;Big road;Coenonympha arcania;5
4091;PL.HRD;Big road;Gonepteryx rhamni;1
4091;PL.HRD;Big road;Inachis io;1
4091;PL.HRD;Big road;Pieris brassicae;2
4091;PL.HRD;Big road;Pieris napi;2
4091;PL.HRD;Pasture;Aphantopus hyperantus;11
4091;PL.HRD;Pasture;Coenonympha arcania;16
4091;PL.HRD;Pasture;Coenonympha pamphilus;2
4091;PL.HRD;Pasture;Gonepteryx rhamni;2
4091;PL.HRD;Pasture;Hesperia comma;2
4091;PL.HRD;Pasture;Inachis io;2
4091;PL.HRD;Pasture;Lycaena phlaeas;2
4091;PL.HRD;Pasture;Maniola jurtina;2
4091;PL.HRD;Pasture;Melitaea athalia;1
4091;PL.HRD;Pasture;Thymelicus lineola;2
4091;PL.HRD;Powerline;Aphantopus hyperantus;29
4091;PL.HRD;Powerline;Argynnis aglaja;4
4091;PL.HRD;Powerline;Argynnis paphia;12
4091;PL.HRD;Powerline;Boloria selene;5
4091;PL.HRD;Powerline;Brenthis ino;8
4091;PL.HRD;Powerline;Coenonympha arcania;5
4091;PL.HRD;Powerline;Coenonympha pamphilus;2
4091;PL.HRD;Powerline;Gonepteryx rhamni;19
4091;PL.HRD;Powerline;Inachis io;17
4091;PL.HRD;Powerline;Pieris brassicae;1
4091;PL.HRD;Powerline;Pieris napi;1
4091;PL.HRD;Powerline;Polyommatus amandus;3
4091;PL.HRD;Powerline;Polyommatus semiargus;1
4091;PL.HRD;Powerline;Thymelicus lineola;11
4091;PL.HRD;Small road;Aphantopus hyperantus;5
4091;PL.HRD;Small road;Argynnis adippe;1
4091;PL.HRD;Small road;Argynnis aglaja;2
4091;PL.HRD;Small road;Brenthis ino;1
4091;PL.HRD;Small road;Inachis io;3
4091;PL.HRD;Small road;Issoria lathonia;1
4091;PL.HRD;Small road;Lasiommata maera;1
4091;PL.HRD;Small road;Pieris napi;1
4091;PL.HRD;Small road;Thymelicus lineola;1
4319;NoPL.HRD;Between fields;Aphantopus hyperantus;12
4319;NoPL.HRD;Between fields;Coenonympha arcania;5
4319;NoPL.HRD;Between fields;Gonepteryx rhamni;4
4319;NoPL.HRD;Between fields;Inachis io;6
4319;NoPL.HRD;Between fields;Pieris brassicae;3
4319;NoPL.HRD;Between fields;Pieris napi;4
4319;NoPL.HRD;Between fields;Thymelicus lineola;1
4319;NoPL.HRD;Big road;Aphantopus hyperantus;10
4319;NoPL.HRD;Big road;Boloria selene;1
4319;NoPL.HRD;Big road;Coenonympha arcania;4
4319;NoPL.HRD;Big road;Inachis io;1
4319;NoPL.HRD;Big road;Leptidea sinapis/reali;1
4319;NoPL.HRD;Big road;Ochlodes sylvanus;1
4319;NoPL.HRD;Big road;Pieris napi;7
4319;NoPL.HRD;Big road;Polyommatus amandus;1
4319;NoPL.HRD;Big road;Thymelicus lineola;6
4319;NoPL.HRD;Pasture;Aphantopus hyperantus;5
4319;NoPL.HRD;Pasture;Argynnis aglaja;5
4319;NoPL.HRD;Pasture;Boloria selene;1
4319;NoPL.HRD;Pasture;Coenonympha arcania;2
4319;NoPL.HRD;Pasture;Gonepteryx rhamni;2
4319;NoPL.HRD;Pasture;Melitaea athalia;1
4319;NoPL.HRD;Pasture;Pieris brassicae;2
4319;NoPL.HRD;Pasture;Pieris napi;2
4319;NoPL.HRD;Pasture;Zygaena lonicerae;1
4319;NoPL.HRD;Small road;Aglais urticae;3
4319;NoPL.HRD;Small road;Aphantopus hyperantus;12
4319;NoPL.HRD;Small road;Argynnis aglaja;1
4319;NoPL.HRD;Small road;Argynnis paphia;3
4319;NoPL.HRD;Small road;Inachis io;1
4319;NoPL.HRD;Small road;Nymphalis antiopa;1
4319;NoPL.HRD;Small road;Ochlodes sylvanus;1
4319;NoPL.HRD;Small road;Pieris napi;12
4319;NoPL.HRD;Small road;Thymelicus lineola;4
4319;NoPL.HRD;Small road;Vanessa cardui;1
5041;NoPL.HRD;Between fields;Aphantopus hyperantus;12
5041;NoPL.HRD;Between fields;Argynnis paphia;1
5041;NoPL.HRD;Between fields;Brenthis ino;1
5041;NoPL.HRD;Between fields;Coenonympha arcania;8
5041;NoPL.HRD;Between fields;Inachis io;1
5041;NoPL.HRD;Between fields;Pieris brassicae;4
5041;NoPL.HRD;Between fields;Pieris napi;8
5041;NoPL.HRD;Between fields;Plebejus idas;1
5041;NoPL.HRD;Between fields;Polyommatus amandus;2
5041;NoPL.HRD;Between fields;Polyommatus semiargus;1
5041;NoPL.HRD;Between fields;Thymelicus lineola;4
5041;NoPL.HRD;Big road;Aglais urticae;1
5041;NoPL.HRD;Big road;Aphantopus hyperantus;5
5041;NoPL.HRD;Big road;Coenonympha arcania;2
5041;NoPL.HRD;Big road;Inachis io;2
5041;NoPL.HRD;Big road;Polyommatus semiargus;2
5041;NoPL.HRD;Big road;Thymelicus lineola;1
5041;NoPL.HRD;Pasture;Anthocharis cardamines;2
5041;NoPL.HRD;Pasture;Aphantopus hyperantus;16
5041;NoPL.HRD;Pasture;Coenonympha arcania;6
5041;NoPL.HRD;Pasture;Inachis io;1
5041;NoPL.HRD;Pasture;Nymphalis antiopa;1
5041;NoPL.HRD;Pasture;Ochlodes sylvanus;1
